Name	Short Name	Price	Lot Size	Available Quantity	Image URL	Category	ISIN	Status	52W High	52W Low	Market Cap	Description	Popular
NSE India Limited (National Stock Exchange)	NSE India	1985	25	Available on Desk		Financial Services	INE118A01012	DRHP PLANNED	₹2,250	₹1,650	₹98,250 Cr	National Stock Exchange of India Limited (NSE) is India's leading stock exchange covering various cities and towns across the country.	true
OTIS Elevator Company (India) Limited	OTIS India	4200	10	Available on Desk		Engineering & Industrial	INE003A01018	ACTIVE	₹4,600	₹3,400	₹18,500 Cr	Otis is the world's leading company for elevator and escalator manufacturing, installation and service.	true
Motilal Oswal Home Finance Limited	Motilal Home	38	500	Available on Desk		Financial Services	INE489L01017	ACTIVE	₹45.00	₹28.00	₹3,800 Cr	Motilal Oswal Home Finance Limited is a professionally managed housing finance company registered with National Housing Bank (NHB).	false
Metropolitan Stock Exchange (MSEI)	MSEI	5.75	1000	Available on Desk		Financial Services	INE342J01019	ACTIVE	₹7.20	₹4.10	₹2,840 Cr	Metropolitan Stock Exchange of India Limited (MSE) is a recognized electronic stock exchange offering a transparent trading platform.	true
Imagine Marketing Limited (boAt Lifestyle)	boAt Lifestyle	855	50	Available on Desk		Consumer Tech	INE002N01028	DRHP PLANNED	₹1,020	₹680	₹12,400 Cr	Imagine Marketing Limited (boAt) is India's leading consumer tech and wearable electronics company providing audio and smart accessories.	true
Nayara Energy Limited (Essar Oil)	Nayara Energy	285	100	Available on Desk		Energy & Power	INE011A01019	ACTIVE	₹340	₹220	₹42,000 Cr	Nayara Energy is an integrated downstream energy company operating the second largest single-site refinery in India at Vadinar, Gujarat.	true
Merino Industries Limited	Merino Industries	2575	25	Available on Desk		Manufacturing & Materials	INE485B01015	ACTIVE	₹2,850	₹2,100	₹6,800 Cr	Merino Industries is a leading manufacturer of decorative laminates, interior surface products and processed foods in India.	false
National Commodity & Derivatives Exchange Limited (NCDEX)	NCDEX Limited	378	100	Available on Desk		Financial Services	INE688I01017	ACTIVE	₹440	₹290	₹1,950 Cr	NCDEX is India's leading agricultural commodity derivatives exchange providing a transparent marketplace for price discovery.	true
Oravel Stays Limited (OYO Rooms)	OYO Rooms	42	500	Available on Desk		Hospitality & Travel	INE561P01018	DRHP FILED	₹55.00	₹32.00	₹28,000 Cr	Oravel Stays (OYO) is a global platform empowering entrepreneurs and small businesses with technology to run hospitality operations.	true
Mohan Meakin Limited	Mohan Meakin	2350	25	Available on Desk		Consumer Goods & Beverages	INE516C01018	ACTIVE	₹2,600	₹1,850	₹2,050 Cr	Mohan Meakin Limited is a historic Indian manufacturing company known for beverages, spirits, fruit juices, and breakfast cereals.	true
